Postcode,Region
AB,Other
AL,England
B,England
BA,England
BB,England
BD,England
BF,Non-geographic
BH,England
BL,England
BN,England
BR,England
BS,England
BT,Other
BX,Non-geographic
CA,England
CB,England
CF,Other
CH,England
CM,England
CO,England
CR,England
CT,England
CV,England
CW,England
DA,England
DD,Other
DE,England
DG,Other
DH,England
DL,England
DN,England
DT,England
DY,England
E,England
EC,England
EH,Other
EN,England
EX,England
FK,Other
FY,England
G,Other
GIR,Non-geographic
GL,England
GU,England
GY,Other
HA,England
HD,England
HG,England
HP,England
HR,England
HS,Other
HU,England
HX,England
IG,England
IM,Other
IP,England
IV,Other
JE,Other
KA,Other
KT,England
KW,Other
KY,Other
L,England
LA,England
LD,Other
LE,England
LL,Other
LN,England
LS,England
LU,England
M,England
ME,England
MK,England
ML,Other
N,England
NE,England
NG,England
NN,England
NP,Other
NR,England
NW,England
OL,England
OX,England
PA,Other
PE,England
PH,Other
PL,England
PO,England
PR,England
QC,Non-geographic
RG,England
RH,England
RM,England
S,England
SA,Other
SE,England
SG,England
SK,England
SL,England
SM,England
SN,England
SO,England
SP,England
SR,England
SS,England
ST,England
SW,England
SY,Other
TA,England
TD,Other
TF,England
TN,England
TQ,England
TR,England
TS,England
TW,England
UB,England
W,England
WA,England
WC,England
WD,England
WF,England
WN,England
WR,England
WS,England
WV,England
XX,Non-geographic
YO,England
ZE,Other
