Sample.ID,Gender,Birthyear,Postcode,Region,Region.1,Weight,Height,Education.Level,Location.of.Birth
5ddd6f2db40d9b1366913deed67bcafc197e97248fd25d6f7dbf61a2f20a3af0,F,"[1975, 1995)",LS,England,North East,76.0,1.64,Higher,Northern Hemisphere
b012ae4fe956e7b18cc2b1cb4fd115af3ce52af810339a27d5b494f1d5df7cbe,M,"[1995, 2015)",M,England,North West,71.4,1.66,BasicOther,Northern Hemisphere
bf3f3936bfa3597dfd7564f83a596fba8207d56f10bc5e1231848994d1bf7ffc,F,"[1975, 1995)",SO,England,South East,96.5,1.87,Higher,Northern Hemisphere
615bd73151e8e2ca31663b76c45bef88c2c7d0917b9e8179fd4b902d7ac4c7c0,F,"[1995, 2015)",B,England,West Midlands,61.5,1.71,BasicOther,Northern Hemisphere
f43ebbd3705328603e7ec577db42abe3314684bdf2e0c1a591a32f39d6e7e56c,F,"[1955, 1975)",TQ,England,South West,97.8,1.7,BasicOther,Southern Hemisphere
c95f21dd92498c4db8a6314c464a0e3f5e1709f43aaf21eb986f48dfb9469c09,F,"[1955, 1975)",CM,England,East of England,45.5,1.52,BasicOther,Southern Hemisphere
9bcbd950170caa5e3bf72f3905637f6f2dd30ca1503beb83713d49aac5d7b17f,M,"[1975, 1995)",L,England,North West,86.0,1.67,BasicOther,Southern Hemisphere
0ae67e8a763d4b13f9b0b447da2062d036be3d27590803d024ad17e1ce3ff3ec,M,"[1975, 1995)",CR,England,Greater London,57.3,2.03,BasicOther,Northern Hemisphere
cad74972140f0ed03ceccdd835df80e0be7b1e670bd5f2a074c564dd52dbfbc0,F,"[1995, 2015)",WR,England,West Midlands,83.6,1.47,BasicOther,Northern Hemisphere
f7540206af00bdf956b620519b7f132c8a38abdd5ccc2bbd38762bcb400c51f1,M,"[1995, 2015)",KT,England,Greater London,75.1,1.31,Higher,Northern Hemisphere
4030f2a8da6794cc3010e4baaf8eb29283a88d022f51e61c673d35886f230f47,M,"[1955, 1975)",G,Other,Scotland,48.1,1.96,BasicOther,Southern Hemisphere
996c37b73d068cd6e9861b69487a032cf8c9dadcb500f16d0e8a6503792ee0be,M,"[1995, 2015)",HR,England,West Midlands,54.3,2.05,Higher,Northern Hemisphere
